Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
46	1.0	0.0	1.0	1.0	50.0	-0.0077165347	0.13564903	0.73304194	-0.122068346	23500	-0.3061888	0.007362306	0.006828755	-0.005552319	1.5309441	0.066596076	0.652	2.0	36.63166785240173
47	0.7272727	0.4165978	1.0	0.09090909	45.2	0.09106155	0.2672827	1.186774	-0.10189718	24000	-0.2888824	0.008199559	0.015263081	-0.0026345896	1.444412	0.040310718	0.672	2.0	37.12010097503662
48	0.8347107	0.35063145	1.0	0.09090909	41.272728	0.021053405	0.18641588	0.97691673	-0.058783665	24500	-0.30697894	0.0034734667	0.0055074394	-2.4264213e-05	1.5348947	0.02826014	0.596	1.0	37.69100832939148
49	1.0	0.0	1.0	1.0	50.0	0.03703637	0.17369743	0.9949825	-0.021909669	25000	-0.30371583	0.0010939284	-0.0067278743	-0.00054243504	1.5185791	0.038032856	0.544	4.0	38.21500325202942
50	0.7355372	0.43244547	1.0	0.0	41.272728	0.10764523	0.2252629	1.1310737	-0.02165535	25500	-0.2911423	0.007052727	0.013559014	-0.0011185776	1.4557117	0.05435363	0.798	3.0	38.82126212120056
51	0.9	0.29999998	1.0	0.0	50.0	0.0722534	0.21248013	0.974817	-0.052376807	26000	-0.30051383	0.0034057961	0.0013890564	-0.00067557883	1.5025691	0.017396543	0.442	2.0	39.341219425201416
52	0.8347107	0.35063145	1.0	0.09090909	41.272728	0.03743403	0.16865733	0.9282545	-0.017985493	26500	-0.3055815	0.004609594	0.0038063526	-0.00038826326	1.5279075	0.019786177	0.692	2.0	39.85792660713196
53	0.9090909	0.27272725	1.0	0.09090909	50.0	0.042023405	0.1726931	1.0210346	-0.017789043	27000	-0.30345854	0.0023606557	0.003745228	-0.00032991264	1.5172925	0.022205302	0.464	1.0	40.40783452987671
54	0.8181818	0.38569462	1.0	0.0	41.272728	0.04412895	0.20583913	1.088874	-0.019513763	27500	-0.29357168	0.0084680095	-0.005291015	-0.0010167719	1.4678583	0.02303658	0.458	1.0	41.00861144065857
55	1.0	0.0	1.0	1.0	50.0	0.018110782	0.15495558	0.90128374	-0.03409729	28000	-0.3048383	0.0022868186	0.013987243	-0.0017499172	1.5241913	0.026240863	0.43	4.0	41.51265215873718
56	1.0	0.0	1.0	1.0	50.0	0.04817908	0.2062006	1.1755687	-0.006195627	28500	-0.29486904	0.0012375431	0.001378715	-0.00028552994	1.474345	0.020928051	0.938	2.0	42.049485206604004
57	0.55944055	0.4768595	1.0	0.0	35.23077	0.1462146	0.22342385	1.0898601	-0.012563743	29000	-0.28276062	0.015185085	-0.004474342	-0.003612062	1.4138029	0.01710205	0.526	10.0	42.74971961975098
58	0.75757575	0.42043746	1.0	0.0	38.0	0.08553434	0.17504317	0.83949876	0.013470821	29500	-0.28248543	0.006433955	-0.0063785017	-0.00038840622	1.412427	0.023254704	0.746	4.0	43.31529450416565
59	0.9090909	0.27272728	1.0	0.09090909	45.2	0.04615068	0.1476244	0.8486265	-0.022754021	30000	-0.3037593	0.0044837836	0.00042688847	-0.0016353792	1.5187967	0.024615208	0.366	3.0	43.86790156364441
60	0.9090909	0.27272725	1.0	0.09090909	50.0	0.1076949	0.22560333	1.1051955	-0.0006625131	30500	-0.2999991	0.0035107993	0.011187434	-0.0009428526	1.4999954	0.016866166	0.452	3.0	44.45193791389465
61	0.58677685	0.45266327	1.0	0.09090909	41.272728	0.18715753	0.28007653	0.9938575	0.005350806	31000	-0.24805777	0.009704319	0.0006840527	-0.0034762565	1.2402889	0.018162515	0.198	7.0	45.01347470283508
