Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	0.29212964	0.3015517	1.0	0.0	2.7333333	0.19627129	0.21294533	1.0343012	-0.16079006	19000	-0.1734906	0.04877172	0.0068089664	-0.0021133162	0.867453	0.017161407	0.474	1.0	235.4349250793457
38	0.24606365	0.29672956	1.0	0.0	2.5125628	0.20800596	0.20410275	0.89341867	-0.11547744	19500	-0.18897578	0.038308874	0.03105767	-0.0019433051	0.944879	0.029433012	0.634	1.0	240.66862559318542
39	0.20853658	0.27701277	0.75	0.0	2.4341464	0.20093167	0.22059266	0.9355324	-0.13311034	20000	-0.18949708	0.023190083	0.011997744	-0.0026275124	0.94748545	0.015898587	0.54	6.0	246.12398195266724
40	0.2521309	0.28516155	1.0	0.0	2.2785387	0.1852175	0.23672155	0.9352289	-0.20345372	20500	-0.17728758	0.041563652	0.034219846	-0.0029684678	0.8864379	0.041573554	0.648	1.0	252.31019639968872
41	0.23006327	0.28569666	0.8	0.0	3.158228	0.2168562	0.18235445	0.9863664	-0.076990575	21000	-0.18261817	0.033213157	0.015631318	-0.0050960947	0.91309077	0.01874432	0.58	2.0	257.6392433643341
42	0.2393539	0.28842577	0.75	0.0	2.198238	0.2174367	0.17650084	0.79585207	-0.09154159	21500	-0.18173891	0.028720776	0.05552593	-0.0029613078	0.9086945	0.026851244	0.6	1.0	264.9035782814026
43	0.199711	0.2807486	1.0	0.0	2.8786128	0.19468372	0.2237973	0.9535841	-0.18318464	22000	-0.1866474	0.055168044	0.01754561	-0.010584179	0.933237	0.04430566	0.504	3.0	270.7120897769928
44	0.30379966	0.30011028	1.0	0.0	2.5751295	0.14804843	0.16794936	0.67809224	-0.10795393	22500	-0.18606049	0.04183316	0.0060427934	-0.013935998	0.9303024	0.013977217	0.394	15.0	276.17331409454346
45	0.22581397	0.2922585	1.0	0.0	2.3209302	0.1683432	0.22734354	0.8763767	-0.17006499	23000	-0.19100049	0.04396898	0.016980082	-0.0027222075	0.9550024	0.03381952	0.468	3.0	283.05272579193115
46	0.22740114	0.28697005	0.75	0.0	2.7853107	0.23583856	0.20584635	0.96858305	-0.089191064	23500	-0.17743978	0.0275439	0.030519992	-0.003462894	0.8871989	0.022232438	0.498	3.0	289.4603748321533
47	0.23395722	0.2962349	1.0	0.0	2.673797	0.190003	0.1921944	0.8806573	-0.09575196	24000	-0.20517729	0.04027431	0.033330187	-0.0009770878	1.0258864	0.025685085	0.468	1.0	296.3987169265747
48	0.20471843	0.27726388	0.75	0.0	2.2831051	0.20631927	0.20137024	0.84827197	-0.12049747	24500	-0.18897843	0.030403519	-0.010508329	-0.0020922143	0.9448923	0.008901909	0.118	15.0	304.0521926879883
49	0.23678678	0.28802964	0.8	0.0	2.2477477	0.17631018	0.21931316	1.0157326	-0.16338256	25000	-0.182019	0.02390776	0.0104736835	-0.0019452926	0.9100951	0.015121448	0.396	15.0	311.76913261413574
50	0.28341794	0.30732504	1.0	0.0	2.5380712	0.20616406	0.25259295	1.1111108	-0.20031914	25500	-0.17911388	0.0759086	0.0055729	-0.007342547	0.89556944	0.01684771	0.386	13.0	318.1734948158264
51	0.27422005	0.2905563	0.75	0.0	2.4334974	0.24311677	0.16686651	0.72821337	-0.0040306225	26000	-0.17467363	0.03032411	0.018474162	-0.0048657525	0.87336814	0.019020362	0.51	5.0	325.06980633735657
52	0.25034186	0.3016855	1.0	0.0	2.5641026	0.21179934	0.22561565	1.0614295	-0.15043122	26500	-0.18354455	0.03145754	0.017826304	-0.0009640418	0.9177227	0.017596573	0.47	1.0	332.016220331192
53	0.27939394	0.30583492	1.0	0.0	2.2727273	0.2505391	0.2591064	0.9948255	-0.13719708	27000	-0.18005641	0.031381916	-0.009279743	-0.0007012803	0.9002822	0.0020611042	0.086	15.0	339.4950408935547
54	0.25068027	0.298721	1.0	0.0	2.5510204	0.1998996	0.23553994	1.0120116	-0.16248856	27500	-0.18757889	0.033270955	-0.012439817	-0.0007048696	0.9378944	0.007388449	0.186	15.0	346.66746044158936
55	0.30030724	0.3061035	1.0	0.0	2.248848	0.24922943	0.22764307	0.9805344	-0.13764134	28000	-0.1750398	0.0448972	-0.013326645	-0.0013361797	0.87519896	0.0024289857	0.106	15.0	354.15842628479004
56	0.30060136	0.30549273	1.0	0.0	2.530928	0.25756457	0.24690352	1.203489	-0.08998401	28500	-0.16901678	0.04335589	-0.003959909	-0.0009781979	0.84508383	0.015267368	0.374	6.0	361.1275293827057
57	0.26401868	0.30056754	1.0	0.0	2.3364487	0.26166108	0.20755914	0.9036197	-0.04631415	29000	-0.17495967	0.039231554	-0.0065774024	-0.0021729767	0.87479824	0.008963404	0.106	15.0	368.89646887779236
58	0.25907668	0.29285714	1.0	0.0	2.3380282	0.2385007	0.23540074	1.1811982	-0.11587369	29500	-0.1749079	0.04863947	-0.011957437	-0.0018734038	0.8745393	0.0022153864	0.074	15.0	376.0564112663269
59	0.2747646	0.299477	0.8	0.0	2.819209	0.21822083	0.22037524	1.03727	-0.11871478	30000	-0.17155229	0.023340598	-0.0037655085	-0.0017291345	0.8577615	0.018223822	0.336	15.0	382.0763213634491
60	0.29652777	0.30861396	1.0	0.0	2.5572917	0.23357004	0.22433156	0.87401825	-0.16431949	30500	-0.17681764	0.047642093	-0.0075179935	-0.0004360564	0.8840882	0.0026823552	0.052	15.0	388.56132555007935
61	0.27117866	0.29939505	1.0	0.0	2.756906	0.22586705	0.21799111	0.94697684	-0.09046825	31000	-0.17769258	0.036363862	-0.009438321	-0.0017370805	0.8884629	0.004609043	0.092	15.0	394.9755229949951
62	0.28705359	0.29590216	1.0	0.0	2.2276785	0.25927532	0.23674622	1.0562736	-0.104296155	31500	-0.162481	0.04364073	0.016472235	-0.0009026155	0.81240493	0.018974828	0.438	14.0	402.43282556533813
63	0.26908603	0.30107108	1.0	0.0	2.6827958	0.22903393	0.19035552	0.8773823	-0.10991666	32000	-0.18016823	0.049327217	-0.0058595985	-0.0032401271	0.90084106	0.00018243706	0.034	15.0	409.4240803718567
